ENTDATESERVICETYPE,ENTDATEDAYOFWEEK,ENTSTATION,EXTSTATION,ENTPERIOD,ENTQUARTHOUR,AVG_TRIPS,congestion_level,old_cost,new_cost
Saturday,Sat,Pentagon City,Tysons Corner,PM Peak,4:00 PM to 4:15 PM,3,1.0,,
Saturday,Sat,Stadium-Armory,Huntington,PM Peak,3:45 PM to 4:00 PM,2,1.0,,
Weekday,Mon,Tenleytown-AU,Metro Center,Midday,9:30 AM to 9:45 AM,11,2.0,,
Weekday,Wed,Farragut North,Fort Totten,Midday,11:15 AM to 11:30 AM,2,1.0,,
Weekday,Wed,Gallery Pl-Chinatown,Van Ness-UDC,Evening,11:00 PM to 11:15 PM,2,1.0,,
Weekday,Fri,Federal Center SW,Silver Spring,Midday,2:45 PM to 3:00 PM,1,1.0,,
Weekday,Fri,U Street/African-Amer Civil War Memorial/Cardozo,Medical Center,PM Peak,6:30 PM to 6:45 PM,2,1.0,,
Saturday,Sat,Anacostia,Dupont Circle,PM Peak,3:00 PM to 3:15 PM,2,1.0,,
Weekday,Tue,Navy Yard-Ballpark,Brookland-CUA,Evening,9:15 PM to 9:30 PM,1,1.0,,
Weekday,Tue,Wiehle-Reston East,Virginia Square-GMU,Evening,10:45 PM to 11:00 PM,1,1.0,,
Weekday,Tue,Rosslyn,Clarendon,Midday,12:15 PM to 12:30 PM,3,1.0,,
Weekday,Tue,Naylor Road,Prince George's Plaza,AM Peak,5:30 AM to 5:45 AM,1,1.0,,
Weekday,Tue,Archives-Navy Memorial-Penn Quarter,Pentagon,AM Peak,7:00 AM to 7:15 AM,2,1.0,,
Weekday,Mon,Capitol Heights,Smithsonian,AM Peak,8:30 AM to 8:45 AM,2,1.0,,
Weekday,Mon,College Park-U of Md,Georgia Ave-Petworth,Evening,7:45 PM to 8:00 PM,3,1.0,,
Weekday,Mon,Southern Avenue,Southern Avenue,Midday,9:30 AM to 9:45 AM,1,1.0,,
Weekday,Mon,King St-Old Town,Dunn Loring-Merrifield,Evening,7:00 PM to 7:15 PM,2,1.0,,
Weekday,Mon,Union Station,Columbia Heights,PM Peak,3:15 PM to 3:30 PM,8,1.0,,
Weekday,Thu,Deanwood,Rhode Island Ave-Brentwood,AM Peak,8:30 AM to 8:45 AM,1,1.0,,
Weekday,Thu,Congress Heights,Suitland,AM Peak,7:15 AM to 7:30 AM,2,1.0,,
Weekday,Wed,Van Dorn Street,Columbia Heights,AM Peak,8:00 AM to 8:15 AM,2,1.0,,
Weekday,Tue,King St-Old Town,Smithsonian,Midday,12:30 PM to 12:45 PM,3,1.0,,
Weekday,Tue,Dupont Circle,Vienna/Fairfax-GMU,PM Peak,6:00 PM to 6:15 PM,8,1.0,,
Weekday,Tue,Georgia Ave-Petworth,Mt Vernon Sq 7th St-Convention Center,Midday,2:00 PM to 2:15 PM,2,1.0,,
Sunday,Sun,Largo Town Center,Addison Road-Seat Pleasant,AM Peak,6:15 AM to 6:30 AM,1,1.0,,
Weekday,Fri,L'Enfant Plaza,Branch Ave,PM Peak,6:45 PM to 7:00 PM,5,1.0,,
Weekday,Tue,McPherson Square,Southern Avenue,Midday,1:00 PM to 1:15 PM,2,1.0,,
Weekday,Mon,Van Dorn Street,Benning Road,Midday,11:30 AM to 11:45 AM,1,1.0,,
Weekday,Tue,Pentagon City,Eastern Market,PM Peak,5:15 PM to 5:30 PM,2,1.0,,
Weekday,Thu,Smithsonian,Friendship Heights,PM Peak,5:15 PM to 5:30 PM,9,1.0,,
Weekday,Tue,Federal Triangle,Bethesda,PM Peak,3:30 PM to 3:45 PM,3,1.0,,
Weekday,Tue,Dunn Loring-Merrifield,Mt Vernon Sq 7th St-Convention Center,PM Peak,5:00 PM to 5:15 PM,1,1.0,,
Weekday,Tue,Pentagon,Addison Road-Seat Pleasant,PM Peak,6:45 PM to 7:00 PM,2,1.0,,
Weekday,Tue,Pentagon,NoMa-Gallaudet U,Midday,12:15 PM to 12:30 PM,4,1.0,,
Weekday,Tue,Silver Spring,Tenleytown-AU,Midday,12:45 PM to 1:00 PM,1,1.0,,
Weekday,Mon,Braddock Road,Rosslyn,PM Peak,6:00 PM to 6:15 PM,1,1.0,,
Weekday,Mon,Rosslyn,New Carrollton,Evening,11:00 PM to 11:15 PM,1,1.0,,
Weekday,Mon,Largo Town Center,White Flint,Midday,2:30 PM to 2:45 PM,2,1.0,,
Weekday,Mon,East Falls Church,Clarendon,Midday,12:45 PM to 1:00 PM,2,1.0,,
Weekday,Wed,Judiciary Square,Eastern Market,PM Peak,5:30 PM to 5:45 PM,2,1.0,,
Weekday,Thu,Columbia Heights,Smithsonian,AM Peak,5:15 AM to 5:30 AM,1,1.0,,
Weekday,Thu,Shady Grove,Smithsonian,AM Peak,5:15 AM to 5:30 AM,8,1.0,,
Weekday,Wed,Eastern Market,Metro Center,AM Peak,7:00 AM to 7:15 AM,4,1.0,,
Weekday,Tue,Gallery Pl-Chinatown,Forest Glen,PM Peak,3:15 PM to 3:30 PM,3,1.0,,
Weekday,Tue,Gallery Pl-Chinatown,Stadium-Armory,PM Peak,4:15 PM to 4:30 PM,1,1.0,,
Weekday,Tue,Woodley Park-Zoo/Adams Morgan,Metro Center,Midday,2:15 PM to 2:30 PM,6,1.0,,
Weekday,Mon,Anacostia,New Carrollton,PM Peak,3:30 PM to 3:45 PM,1,1.0,,
Weekday,Wed,Foggy Bottom-GWU,Eastern Market,PM Peak,3:15 PM to 3:30 PM,11,2.0,,
Weekday,Thu,Suitland,L'Enfant Plaza,AM Peak,9:00 AM to 9:15 AM,9,1.0,,
Weekday,Thu,Smithsonian,Brookland-CUA,PM Peak,3:15 PM to 3:30 PM,1,1.0,,
Weekday,Wed,Woodley Park-Zoo/Adams Morgan,Federal Center SW,AM Peak,6:00 AM to 6:15 AM,2,1.0,,
Weekday,Tue,Federal Center SW,Southern Avenue,Evening,7:45 PM to 8:00 PM,1,1.0,,
Weekday,Tue,Rockville,Largo Town Center,PM Peak,5:00 PM to 5:15 PM,3,1.0,,
Weekday,Thu,Takoma,Union Station,AM Peak,7:00 AM to 7:15 AM,18,2.0,,
Weekday,Wed,White Flint,Bethesda,Midday,1:30 PM to 1:45 PM,2,1.0,,
Weekday,Wed,Crystal City,Vienna/Fairfax-GMU,Midday,11:45 AM to 12:00 PM,1,1.0,,
Weekday,Wed,Pentagon,Capitol South,Midday,9:30 AM to 9:45 AM,3,1.0,,
Weekday,Thu,Pentagon City,Largo Town Center,PM Peak,6:00 PM to 6:15 PM,3,1.0,,
Weekday,Wed,Georgia Ave-Petworth,U Street/African-Amer Civil War Memorial/Cardozo,PM Peak,5:00 PM to 5:15 PM,5,1.0,,
Weekday,Wed,Van Ness-UDC,Van Ness-UDC,AM Peak,8:00 AM to 8:15 AM,1,1.0,,
Weekday,Thu,Takoma,Rosslyn,Midday,2:15 PM to 2:30 PM,1,1.0,,
Weekday,Wed,Eastern Market,U Street/African-Amer Civil War Memorial/Cardozo,AM Peak,8:45 AM to 9:00 AM,1,1.0,,
Weekday,Wed,Foggy Bottom-GWU,Suitland,AM Peak,5:00 AM to 5:15 AM,2,1.0,,
Saturday,Sat,Archives-Navy Memorial-Penn Quarter,Waterfront,Evening,10:15 PM to 10:30 PM,5,1.0,,
Weekday,Wed,New Carrollton,Farragut West,PM Peak,3:45 PM to 4:00 PM,2,1.0,,
Saturday Holiday,Mon,Judiciary Square,Union Station,PM Peak,3:15 PM to 3:30 PM,3,1.0,,
Saturday Holiday,Mon,Shaw-Howard U,Ballston-MU,PM Peak,6:45 PM to 7:00 PM,1,1.0,,
Weekday,Thu,Tenleytown-AU,Cleveland Park,PM Peak,6:45 PM to 7:00 PM,3,1.0,,
Saturday,Sat,Smithsonian,College Park-U of Md,PM Peak,3:30 PM to 3:45 PM,5,1.0,,
Sunday,Sun,Grosvenor-Strathmore,Bethesda,Midday,12:15 PM to 12:30 PM,2,1.0,,
Saturday,Sat,Georgia Ave-Petworth,Columbia Heights,Evening,10:00 PM to 10:15 PM,2,1.0,,
Saturday,Sat,Smithsonian,Union Station,Midday,2:45 PM to 3:00 PM,8,1.0,,
Sunday,Sun,Ronald Reagan Washington National Airport,Union Station,PM Peak,5:15 PM to 5:30 PM,3,1.0,,
Sunday,Sun,Fort Totten,Branch Ave,PM Peak,4:15 PM to 4:30 PM,2,1.0,,
Weekday,Tue,Crystal City,L'Enfant Plaza,PM Peak,3:45 PM to 4:00 PM,9,1.0,,
Saturday,Sat,Foggy Bottom-GWU,Shaw-Howard U,Evening,8:45 PM to 9:00 PM,3,1.0,,
Weekday,Fri,Silver Spring,Clarendon,AM Peak,7:30 AM to 7:45 AM,2,1.0,,
Weekday,Fri,Southern Avenue,Mt Vernon Sq 7th St-Convention Center,Midday,12:15 PM to 12:30 PM,1,1.0,,
Weekday,Fri,Silver Spring,Clarendon,PM Peak,3:45 PM to 4:00 PM,1,1.0,,
Weekday,Fri,Columbia Heights,Union Station,AM Peak,6:30 AM to 6:45 AM,6,1.0,,
Weekday,Fri,Twinbrook,Shady Grove,PM Peak,6:45 PM to 7:00 PM,6,1.0,,
Weekday,Tue,Federal Triangle,King St-Old Town,Evening,8:00 PM to 8:15 PM,4,1.0,,
Weekday,Tue,Farragut North,Rockville,PM Peak,6:45 PM to 7:00 PM,15,2.0,,
Weekday,Tue,Pentagon City,Ronald Reagan Washington National Airport,AM Peak,6:15 AM to 6:30 AM,3,1.0,,
Weekday,Tue,Dupont Circle,Metro Center,Midday,10:30 AM to 10:45 AM,15,2.0,,
Weekday,Wed,Ronald Reagan Washington National Airport,King St-Old Town,PM Peak,3:00 PM to 3:15 PM,3,1.0,,
Weekday,Wed,Union Station,Tenleytown-AU,Midday,10:00 AM to 10:15 AM,3,1.0,,
Weekday,Tue,Crystal City,Metro Center,PM Peak,5:30 PM to 5:45 PM,3,1.0,,
Saturday,Sat,McPherson Square,Union Station,Evening,7:15 PM to 7:30 PM,2,1.0,,
Weekday,Fri,Dupont Circle,Rockville,Late Night Peak,1:45 AM to 2:00 AM,1,1.0,,
Saturday Holiday,Mon,King St-Old Town,Farragut West,PM Peak,5:00 PM to 5:15 PM,4,1.0,,
Weekday,Fri,Capitol South,Fort Totten,Midday,2:30 PM to 2:45 PM,2,1.0,,
Weekday,Fri,Suitland,Virginia Square-GMU,AM Peak,8:00 AM to 8:15 AM,1,1.0,,
Weekday,Wed,West Falls Church-VT/UVA,Ronald Reagan Washington National Airport,Midday,9:30 AM to 9:45 AM,1,1.0,,
Weekday,Wed,Smithsonian,Court House,PM Peak,4:30 PM to 4:45 PM,9,1.0,,
Weekday,Tue,Suitland,Rhode Island Ave-Brentwood,AM Peak,6:15 AM to 6:30 AM,2,1.0,,
Weekday,Fri,McPherson Square,McPherson Square,Midday,12:30 PM to 12:45 PM,1,1.0,,
Sunday,Sun,Stadium-Armory,Gallery Pl-Chinatown,PM Peak,6:30 PM to 6:45 PM,2,1.0,,
Saturday Holiday,Mon,Congress Heights,Fort Totten,AM Peak,6:45 AM to 7:00 AM,2,1.0,,
Weekday,Thu,Union Station,Dupont Circle,Evening,8:00 PM to 8:15 PM,19,2.0,,
Weekday,Tue,Ronald Reagan Washington National Airport,Court House,Evening,10:00 PM to 10:15 PM,1,1.0,,
Weekday,Fri,Largo Town Center,King St-Old Town,AM Peak,6:30 AM to 6:45 AM,2,1.0,,
Saturday,Sat,King St-Old Town,Union Station,Midday,12:15 PM to 12:30 PM,3,1.0,,
Saturday,Sat,Archives-Navy Memorial-Penn Quarter,Gallery Pl-Chinatown,PM Peak,6:45 PM to 7:00 PM,2,1.0,,
Weekday,Fri,White Flint,White Flint,Midday,12:15 PM to 12:30 PM,1,1.0,,
Weekday,Fri,Waterfront,Mt Vernon Sq 7th St-Convention Center,AM Peak,5:15 AM to 5:30 AM,1,1.0,,
Weekday,Wed,Wiehle-Reston East,Judiciary Square,AM Peak,6:45 AM to 7:00 AM,12,2.0,,
Weekday,Wed,King St-Old Town,Farragut West,AM Peak,6:30 AM to 6:45 AM,13,2.0,,
Weekday,Wed,Mt Vernon Sq 7th St-Convention Center,L'Enfant Plaza,AM Peak,7:45 AM to 8:00 AM,12,2.0,,
Weekday,Wed,Smithsonian,Morgan Boulevard,PM Peak,4:30 PM to 4:45 PM,8,1.0,,
Weekday,Wed,Wiehle-Reston East,Dupont Circle,Evening,8:30 PM to 8:45 PM,3,1.0,,
Weekday,Wed,Suitland,Archives-Navy Memorial-Penn Quarter,PM Peak,3:30 PM to 3:45 PM,2,1.0,,
Saturday,Sat,Braddock Road,Columbia Heights,PM Peak,4:45 PM to 5:00 PM,3,1.0,,
Sunday,Sun,Rosslyn,East Falls Church,Midday,10:30 AM to 10:45 AM,7,1.0,,
Weekday,Wed,Dupont Circle,White Flint,AM Peak,7:30 AM to 7:45 AM,5,1.0,,
Weekday,Wed,Union Station,Franconia-Springfield,Midday,1:30 PM to 1:45 PM,3,1.0,,
Weekday,Wed,Federal Triangle,Silver Spring,PM Peak,6:30 PM to 6:45 PM,6,1.0,,
Weekday,Wed,Judiciary Square,Grosvenor-Strathmore,Midday,11:00 AM to 11:15 AM,3,1.0,,
Weekday,Mon,Metro Center,Greenbelt,Midday,12:45 PM to 1:00 PM,1,1.0,,
Weekday,Mon,Rhode Island Ave-Brentwood,Crystal City,Midday,12:00 PM to 12:15 PM,2,1.0,,
Weekday,Thu,New Carrollton,Judiciary Square,Midday,9:30 AM to 9:45 AM,1,1.0,,
Sunday,Sun,Ronald Reagan Washington National Airport,Wheaton,Evening,10:45 PM to 11:00 PM,1,1.0,,
Weekday,Tue,Stadium-Armory,Crystal City,AM Peak,7:15 AM to 7:30 AM,4,1.0,,
Weekday,Tue,Rosslyn,Tysons Corner,Evening,7:00 PM to 7:15 PM,2,1.0,,
Weekday,Wed,Rhode Island Ave-Brentwood,Gallery Pl-Chinatown,AM Peak,6:45 AM to 7:00 AM,3,1.0,,
Weekday,Tue,Judiciary Square,U Street/African-Amer Civil War Memorial/Cardozo,PM Peak,4:45 PM to 5:00 PM,3,1.0,,
Weekday,Mon,Shady Grove,Gallery Pl-Chinatown,Evening,10:00 PM to 10:15 PM,2,1.0,,
Weekday,Thu,Brookland-CUA,Brookland-CUA,Midday,2:00 PM to 2:15 PM,1,1.0,,
Weekday,Fri,Rosslyn,L'Enfant Plaza,PM Peak,5:30 PM to 5:45 PM,2,1.0,,
Weekday,Tue,Capitol South,Glenmont,Evening,7:00 PM to 7:15 PM,2,1.0,,
Weekday,Tue,Archives-Navy Memorial-Penn Quarter,Dupont Circle,PM Peak,5:15 PM to 5:30 PM,6,1.0,,
Weekday,Tue,Mt Vernon Sq 7th St-Convention Center,Capitol South,AM Peak,8:30 AM to 8:45 AM,12,2.0,,
Weekday,Wed,Vienna/Fairfax-GMU,King St-Old Town,AM Peak,7:45 AM to 8:00 AM,1,1.0,,
Weekday,Wed,Farragut North,Metro Center,Midday,12:15 PM to 12:30 PM,10,2.0,,
Weekday,Mon,U Street/African-Amer Civil War Memorial/Cardozo,College Park-U of Md,Midday,1:30 PM to 1:45 PM,1,1.0,,
Weekday,Mon,Bethesda,Columbia Heights,Evening,11:15 PM to 11:30 PM,1,1.0,,
Weekday,Thu,Gallery Pl-Chinatown,Bethesda,AM Peak,8:45 AM to 9:00 AM,5,1.0,,
Weekday,Tue,NoMa-Gallaudet U,Forest Glen,Evening,7:15 PM to 7:30 PM,2,1.0,,
Weekday,Tue,L'Enfant Plaza,Tysons Corner,PM Peak,4:15 PM to 4:30 PM,3,1.0,,
Weekday,Wed,Twinbrook,Woodley Park-Zoo/Adams Morgan,AM Peak,6:00 AM to 6:15 AM,1,1.0,,
Weekday,Wed,Silver Spring,Wheaton,PM Peak,6:45 PM to 7:00 PM,6,1.0,,
Weekday,Wed,West Hyattsville,Navy Yard-Ballpark,AM Peak,6:15 AM to 6:30 AM,3,1.0,,
Weekday,Tue,Union Station,Waterfront,PM Peak,3:00 PM to 3:15 PM,3,1.0,,
Weekday,Tue,Franconia-Springfield,King St-Old Town,AM Peak,5:45 AM to 6:00 AM,3,1.0,,
Weekday,Wed,Metro Center,McPherson Square,Midday,2:15 PM to 2:30 PM,3,1.0,,
Weekday,Wed,Ronald Reagan Washington National Airport,Bethesda,AM Peak,6:00 AM to 6:15 AM,1,1.0,,
Weekday,Wed,West Falls Church-VT/UVA,Crystal City,Evening,8:00 PM to 8:15 PM,1,1.0,,
Weekday,Tue,Mt Vernon Sq 7th St-Convention Center,Farragut North,PM Peak,6:30 PM to 6:45 PM,1,1.0,,
Weekday,Tue,Woodley Park-Zoo/Adams Morgan,Wheaton,PM Peak,4:30 PM to 4:45 PM,1,1.0,,
Weekday,Mon,Ronald Reagan Washington National Airport,Georgia Ave-Petworth,Evening,8:30 PM to 8:45 PM,2,1.0,,
Weekday,Mon,Naylor Road,Rockville,Midday,11:15 AM to 11:30 AM,1,1.0,,
Weekday,Mon,Foggy Bottom-GWU,Braddock Road,Evening,9:45 PM to 10:00 PM,2,1.0,,
Weekday,Wed,West Hyattsville,Rhode Island Ave-Brentwood,AM Peak,7:45 AM to 8:00 AM,2,1.0,,
Weekday,Fri,College Park-U of Md,Dupont Circle,Midday,11:45 AM to 12:00 PM,2,1.0,,
Weekday,Mon,Suitland,Anacostia,Midday,1:45 PM to 2:00 PM,4,1.0,,
Weekday,Mon,Farragut West,Ronald Reagan Washington National Airport,Midday,12:30 PM to 12:45 PM,4,1.0,,
Weekday,Mon,Ronald Reagan Washington National Airport,Franconia-Springfield,Midday,1:30 PM to 1:45 PM,4,1.0,,
Weekday,Mon,Wiehle-Reston East,Takoma,PM Peak,3:45 PM to 4:00 PM,2,1.0,,
Weekday,Fri,Grosvenor-Strathmore,L'Enfant Plaza,AM Peak,6:30 AM to 6:45 AM,3,1.0,,
Sunday,Sun,Shaw-Howard U,Benning Road,Midday,11:30 AM to 11:45 AM,1,1.0,,
Weekday,Fri,New Carrollton,Metro Center,Midday,12:15 PM to 12:30 PM,3,1.0,,
Sunday,Sun,Metro Center,Minnesota Ave,AM Peak,9:15 AM to 9:30 AM,1,1.0,,
Sunday,Sun,New Carrollton,McPherson Square,Evening,8:45 PM to 9:00 PM,1,1.0,,
Saturday,Sat,Mt Vernon Sq 7th St-Convention Center,Georgia Ave-Petworth,PM Peak,4:30 PM to 4:45 PM,3,1.0,,
Weekday,Tue,West Falls Church-VT/UVA,Court House,AM Peak,9:00 AM to 9:15 AM,3,1.0,,
Weekday,Tue,Farragut West,Tysons Corner,AM Peak,6:15 AM to 6:30 AM,1,1.0,,
Weekday,Tue,NoMa-Gallaudet U,Franconia-Springfield,AM Peak,7:45 AM to 8:00 AM,1,1.0,,
Weekday,Thu,Fort Totten,Rosslyn,AM Peak,8:00 AM to 8:15 AM,2,1.0,,
Saturday,Sat,Shady Grove,Shady Grove,Midday,11:30 AM to 11:45 AM,1,1.0,,
Sunday,Sun,Capitol South,McPherson Square,Midday,11:45 AM to 12:00 PM,1,1.0,,
Weekday,Fri,Wiehle-Reston East,Metro Center,Midday,10:45 AM to 11:00 AM,4,1.0,,
Weekday,Mon,Pentagon City,U Street/African-Amer Civil War Memorial/Cardozo,AM Peak,9:15 AM to 9:30 AM,3,1.0,,
Weekday,Fri,Mt Vernon Sq 7th St-Convention Center,New Carrollton,PM Peak,4:45 PM to 5:00 PM,1,1.0,,
Saturday,Sat,Tysons Corner,Woodley Park-Zoo/Adams Morgan,Evening,7:45 PM to 8:00 PM,2,1.0,,
Saturday,Sat,Smithsonian,Minnesota Ave,Evening,11:15 PM to 11:30 PM,1,1.0,,
Weekday,Thu,Shady Grove,Navy Yard-Ballpark,Midday,2:15 PM to 2:30 PM,1,1.0,,
Weekday,Thu,Clarendon,Ronald Reagan Washington National Airport,AM Peak,5:45 AM to 6:00 AM,1,1.0,,
Weekday,Mon,Eastern Market,Georgia Ave-Petworth,AM Peak,9:00 AM to 9:15 AM,1,1.0,,
Weekday,Fri,Ballston-MU,Farragut West,PM Peak,4:00 PM to 4:15 PM,12,2.0,,
Saturday,Sat,Court House,Spring Hill,Midday,2:00 PM to 2:15 PM,1,1.0,,
Weekday,Wed,Huntington,Court House,Midday,1:15 PM to 1:30 PM,2,1.0,,
Saturday,Sat,Virginia Square-GMU,King St-Old Town,PM Peak,6:30 PM to 6:45 PM,1,1.0,,
Weekday,Fri,Ballston-MU,Spring Hill,AM Peak,9:00 AM to 9:15 AM,2,1.0,,
Saturday,Sat,Grosvenor-Strathmore,Woodley Park-Zoo/Adams Morgan,Evening,11:45 PM to 12:00 AM,1,1.0,,
Weekday,Wed,L'Enfant Plaza,Prince George's Plaza,Evening,7:15 PM to 7:30 PM,3,1.0,,
Weekday,Fri,McPherson Square,Greenbelt,Midday,2:30 PM to 2:45 PM,2,1.0,,
Saturday,Sat,Columbia Heights,Pentagon,Midday,10:45 AM to 11:00 AM,6,1.0,,
Weekday,Wed,Shaw-Howard U,Glenmont,Evening,7:30 PM to 7:45 PM,3,1.0,,
Saturday,Sat,Archives-Navy Memorial-Penn Quarter,Tysons Corner,Midday,2:45 PM to 3:00 PM,2,1.0,,
Saturday,Sat,Cleveland Park,King St-Old Town,PM Peak,3:30 PM to 3:45 PM,7,1.0,,
Saturday,Sat,Largo Town Center,Ronald Reagan Washington National Airport,Midday,11:00 AM to 11:15 AM,1,1.0,,
Weekday,Fri,NoMa-Gallaudet U,Foggy Bottom-GWU,Midday,2:30 PM to 2:45 PM,2,1.0,,
Weekday,Fri,Rosslyn,Shady Grove,PM Peak,4:30 PM to 4:45 PM,7,1.0,,
Weekday,Mon,Archives-Navy Memorial-Penn Quarter,Capitol Heights,Evening,9:30 PM to 9:45 PM,1,1.0,,
Weekday,Mon,Fort Totten,Fort Totten,PM Peak,3:30 PM to 3:45 PM,1,1.0,,
Weekday,Mon,Vienna/Fairfax-GMU,Anacostia,AM Peak,8:15 AM to 8:30 AM,1,1.0,,
